StoreID,Sales
1,14
2,20
3,28
4,19
5,37
6,31
7,16
8,16
9,16
10,29
11,11
12,34
13,31
14,18
15,22
16,17
17,27
18,16
19,24
20,49
21,25
22,18
23,25
24,21
25,15
26,16
27,20
28,11
29,21
30,29
31,14
32,25
33,10
34,15
35,8
36,12
37,12
38,19
39,21
40,28
41,27
42,26
43,12
44,24
45,18
46,19
47,24
48,16
49,17
50,20
51,23
52,13
53,17
54,17
55,19
56,15
57,16
58,13
59,20
60,13
61,13
62,23
63,17
64,22
65,11
66,17
67,17
68,9
69,36
70,16
71,34
72,25
